ID	Nom du Produit	Catégorie	Tag / Étiquette	Prix (FCFA)	Description	URL Image
1	Lot de 3 T-Shirts Coton Basiques	Textile-Mode	Bas Prix	6 500 FCFA	Ensemble de 3 t-shirts 100% coton de qualité supérieure, confortables au quotidien.	https://i.pinimg.com/1200x/b0/94/02/b09402ecfc2c948f2e8782a5a68bdfe2.jpg
2	Robe de Soirée Haute Couture en Soie	Textile-Mode	Luxe	145 000 FCFA	Robe longue élégante en soie naturelle avec broderies délicates faites à la main.	https://images.unsplash.com/photo-1566174053879-31528523f8ae?auto=format&fit=crop&w=600&q=80
3	Jean Slim Stretch Quotidien	Textile-Mode	meilleures-ventes	9 500 FCFA	Coupe moderne et ajustée, idéal pour les sorties décontractées.	https://images.unsplash.com/photo-1541099649105-f69ad21f3246?auto=format&fit=crop&w=600&q=80
4	Costume 3 Pièces Homme Italienne Slim-Fit	Textile-Mode	Premium	185 000 FCFA	Costume de cérémonie confectionné dans de la laine fine italienne. Élégance absolue.	https://images.unsplash.com/photo-1594938298603-c8148c4dae35?auto=format&fit=crop&w=600&q=80
5	Chemise Blanche Classique Homme	Textile-Mode	Bas Prix	7 000 FCFA	Chemise repassage facile, coupe droite idéale pour le bureau ou événements.	https://images.unsplash.com/photo-1620012253295-c15cc3e65df4?auto=format&fit=crop&w=600&q=80
6	Veste en Cuir Véritable Agneau	Textile-Mode	Luxe	120 000 FCFA	Blouson biker en cuir véritable ultra souple avec finitions métalliques haut de gamme.	https://images.unsplash.com/photo-1551028719-00167b16eac5?auto=format&fit=crop&w=600&q=80
7	Robe d'Été Fleurie Légère	Textile-Mode	Tendance	8 500 FCFA	Robe fluide avec imprimé floral coloré, parfaite pour le climat tropical.	https://images.unsplash.com/photo-1572804013309-59a88b7e92f1?auto=format&fit=crop&w=600&q=80
8	Manteau Long en Laine & Cachemire	Textile-Mode	Luxe	160 000 FCFA	Manteau structuré de qualité supérieure offrant chaleur et raffinement.	https://images.unsplash.com/photo-1539533018447-63fcce2678e3?auto=format&fit=crop&w=600&q=80
9	Short de Sport Respirant Quick-Dry	Textile-Mode	Bas Prix	4 500 FCFA	Short ultra-léger avec poche zippée, parfait pour le running et le fitness.	https://images.unsplash.com/photo-1591195853828-11db59a44f6b?auto=format&fit=crop&w=600&q=80
10	Boubou Traditionnel VIP Brodé Main	Textile-Mode	Exclusif	95 000 FCFA	Bazin riche de première qualité avec broderies complexes artisanales.	https://i.pinimg.com/1200x/b8/e8/68/b8e868eb071829bfc1d294ab8ace641b.jpg
11	Sweat à Capuche Oversize Cotton	Textile-Mode	Streetwear	11 000 FCFA	Hoodie molletonné coupe confortable style urbain.	https://images.unsplash.com/photo-1556905055-8f358a7a47b2?auto=format&fit=crop&w=600&q=80
12	Kimono en Satin Imprimé	Textile-Mode	Promo	12 500 FCFA	Kimono élégant à porter en veste légère ou tenue d'intérieur.	https://images.unsplash.com/photo-1583391733956-3750e0ff4e8b?auto=format&fit=crop&w=600&q=80
13	Ensemble Polo & Short Casual	Textile-Mode	Bas Prix	8 900 FCFA	Ensemble deux pièces d'été moderne et décontracté.	https://i.pinimg.com/736x/88/c9/b0/88c9b0ea9e4e7c6cc43401a2ad40f1f1.jpg
14	Jupe Plissée Longue Satinée	Textile-Mode	Tendance	10 500 FCFA	Jupe tendance taille élastique avec reflets brillants.	https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?auto=format&fit=crop&w=600&q=80
15	Gilet en Maille Douce Cashmere-Touch	Textile-Mode	Nouveauté	14 000 FCFA	Cardigan boutonné doux au toucher et très agréable à porter.	https://images.unsplash.com/photo-1620799140408-edc6dcb6d633?auto=format&fit=crop&w=600&q=80
16	Pyjama 2 Pièces en Soie Véritable	Textile-Mode	Luxe	48 000 FCFA	Ensemble nuit haut de gamme pour un confort absolu et élégant.	https://images.unsplash.com/photo-1616885827725-7b567d288d44?auto=format&fit=crop&w=600&q=80
17	Pantalon Cargo Multi-Poches	Textile-Mode	Bas Prix	9 900 FCFA	Style street robuste avec multiples poches de rangement.	https://images.unsplash.com/photo-1624378439575-d8705ad7ae80?auto=format&fit=crop&w=600&q=80
18	Maillot de Bain Design Haute Élégance	Textile-Mode	Premium	22 000 FCFA	Maillot de bain une pièce sculptant avec découpes dorées.	https://images.unsplash.com/photo-1576995853123-5a10305d93c0?auto=format&fit=crop&w=600&q=80
19	Baume à Lèvres Hydratant Beurre de Karité	Beaute-Soins	Bas Prix	1 500 FCFA	Soin protecteur naturel enrichi en vitamine E et karité pur.	https://images.unsplash.com/photo-1625101902621-2e6462719522?auto=format&fit=crop&w=600&q=80
20	Parfum d'Exception Nuit Royale 100ml	Beaute-Soins	Luxe	135 000 FCFA	Fragrance envoûtante aux notes d'Oud, Ambre précieux et Rose de Damas.	https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?auto=format&fit=crop&w=600&q=80
21	Savon Noir Purifiant au Charbon Actif	Beaute-Soins	Nouveau	2 500 FCFA	Nettoie en profondeur, élimine l'excès de sébum et les impuretés.	https://images.unsplash.com/photo-1607006482170-137b02c8e310?auto=format&fit=crop&w=600&q=80
22	Sérum Anti-Âge Fondamental à l'Or 24K	Beaute-Soins	Luxe	89 000 FCFA	Sérum concentré raffermissant enrichi en particules d'or et acide hyaluronique.	https://images.unsplash.com/photo-1620916566398-39f1143ab7be?auto=format&fit=crop&w=600&q=80
23	Crème Hydratante Quotidienne Visage 50ml	Beaute-Soins	Bas Prix	4 500 FCFA	Hydratation 24h texture légère pour tous types de peaux.	https://static.wixstatic.com/media/956e87_2d4d743577134e0d8083a1afd057f6fc~mv2.png/v1/fill/w_1000,h_1000,al_c,q_90,enc_avif,quality_auto/956e87_2d4d743577134e0d8083a1afd057f6fc~mv2.png
24	Coffret Maquillage Pro 48 Couleurs	Beaute-Soins	meilleures-ventes	18 500 FCFA	Palette complète fards à paupières, blush et rouges à lèvres.	https://images.unsplash.com/photo-1512496015851-a90fb38ba796?auto=format&fit=crop&w=600&q=80
25	Huile Botanique Restructurante Cheveux	Beaute-Soins	Bas Prix	3 800 FCFA	Mélange d'huiles d'Argan et de Jojoba pour des cheveux brillants.	https://images.unsplash.com/photo-1608248597279-f99d160bfcbc?auto=format&fit=crop&w=600&q=80
26	Coffret Soin Visage Spa Prestige (5 Produits)	Beaute-Soins	Luxe	110 000 FCFA	Routine complète haut de gamme : nettoyant, sérum, crème, masque et contour des yeux.	https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&w=600&q=80
